Backend Endpoint	Method	Implemented in	Frontend Usage
/api/v1/stock/chat/{ticker}/deep	POST	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	USED
/api/v1/stock/chat/{ticker}/stream	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chat/router.py	USED
/api/v1/stock/esg/{ticker}	GET	modules/financehub/backend/api/endpoints/stock_endpoints/esg/esg_router.py	NOT_USED
/api/v1/stock/premium/{ticker}/summary	GET	modules/financehub/backend/api/endpoints/stock_endpoints/premium/ai_summary/router.py	USED
/api/v1/stock/search	GET	modules/financehub/backend/api/endpoints/stock_endpoints/search/search_stock.py	NOT_USED
/api/v1/stock/ticker-tape/	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	NOT_USED
/api/v1/stock/ticker-tape/item	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	NOT_USED
/api/v1/stock/ticker-tape/test	GET	modules/financehub/backend/api/endpoints/stock_endpoints/ticker_tape/ticker_tape.py	NOT_USED
/api/v1/stock/{ticker}/chart	GET	modules/financehub/backend/api/endpoints/stock_endpoints/chart/chart_data.py	USED
/api/v1/stock/{ticker}/fundamentals	GET	modules/financehub/backend/api/endpoints/stock_endpoints/fundamentals/fundamentals_stock.py	USED
/api/v1/stock/{ticker}/news	GET	modules/financehub/backend/api/endpoints/stock_endpoints/news/news_stock.py	USED
/api/v1/stock/{ticker}/summary	GET	modules/financehub/backend/api/endpoints/stock_endpoints/__init__.py	NOT_USED
/api/v1/stock/{ticker}/technical	GET	modules/financehub/backend/api/endpoints/stock_endpoints/__init__.py	USED
/health	GET	modules/financehub/backend/app_factory.py	NOT_USED
/metrics	GET	modules/financehub/backend/core/metrics/prometheus_exporter.py	NOT_USED
